Index,Company,Experience,Location,Salary
1,31167,5-6 yrs,Delhi ,6 to 8
2,456,7-8yrs,Gurgion,10 to 15
3,4195,5-7 yrs,Delhi ,15 to 20
4,313,7-9 yrs,Gurgion,6 to 8
5,1305,1-3 yrs,Gurgion,3 to 6
6,4428,5-8 yrs,Pune,10 to 15
7,1234,1-5 yrs,Pune,10 to 15
8,1793,5-7 yrs,Pune,6 to 8
9,3396,1-3 yrs,Gurgion,6 to 8
10,3444,2-6 yrs,Chennai,10 to 15
11,3492,3-7 yrs,Pune,6 to 8
12,1959,1-2 yrs,Dethi,15 to 20
13,3592,2-8 yrs,Gurgion,10 to 15
14,4479,2-4 yrs,Pune,10 to 15
15,2127,2-4 yrs,Gurgion,19to15
16,2914,3-1  yrs,Gurgion,11 to 15
